Name,Ticker,Sector,Location,Weight (%),Asset Class
MICROSOFT CORP,MSFT,Technology,Etats-Unis,233.233,Actions
ASML HOLDING NV,ASML,Technology,Pays-Bas,229.621,Actions
APPLE INC,AAPL,Technology,Etats-Unis,219.62199999999999,Actions
NESTLE SA,NESN,Consumer Staples,Suisse,146.728,Actions
SHELL PLC,SHEL,Energy,Royaume-Uni,142.629,Actions
LVMH,MC,Consumer Discretionary,France,142.625,Actions
TOTALENERGIES,TTE,Energy,France,121.98100000000001,Actions
ROCHE HOLDING PAR AG,ROG,Health Care,Suisse,117.907,Actions
SAP,SAP,Technology,Allemagne,117.742,Actions
AMAZON COM INC,AMZN,Consumer Discretionary,Etats-Unis,114.044,Actions
ASTRAZENECA PLC,AZN,Health Care,Royaume-Uni,111.367,Actions
TAIWAN SEMICONDUCTOR MANUFACTURING,2330,Technology,Taïwan,111.075,Actions
LINDE PLC,LIN,Materials,Etats-Unis,110.205,Actions
ALLIANZ,ALV,Financials,Allemagne,106.874,Actions
SANOFI SA,SAN,Health Care,France,104.29,Actions
SAMSUNG ELECTRONICS LTD,005930,Technology,Corée,98.94,Actions
NOVO NORDISK CLASS B,NOVO B,Health Care,Danemark,95.642,Actions
TENCENT HOLDINGS LTD,700,Communication,Chine,89.234,Actions
UNILEVER PLC,ULVR,Consumer Staples,Royaume-Uni,87.25,Actions
TESLA INC,TSLA,Consumer Discretionary,Etats-Unis,86.81,Actions
NOVARTIS AG,NOVN,Health Care,Suisse,85.012,Actions
ALPHABET INC CLASS A,GOOGL,Communication,Etats-Unis,83.748,Actions
LOREAL SA,OR,Consumer Staples,France,83.688,Actions
JOHNSON & JOHNSON,JNJ,Health Care,Etats-Unis,81.45,Actions
SIEMENS N AG,SIE,Industrials,Allemagne,80.589,Actions
ALPHABET INC CLASS C,GOOG,Communication,Etats-Unis,79.47800000000001,Actions
DEUTSCHE TELEKOM N AG,DTE,Communication,Allemagne,78.503,Actions
EXXON MOBIL CORP,XOM,Energy,Etats-Unis,77.725,Actions
RELX PLC,REL,Industrials,Royaume-Uni,77.705,Actions
HSBC HOLDINGS PLC,HSBA,Financials,Royaume-Uni,77.512,Actions
RIO TINTO PLC,RIO,Materials,Royaume-Uni,77.251,Actions
ALIBABA GROUP HOLDING LTD,9988,Consumer Discretionary,Chine,75.557,Actions
PROCTER & GAMBLE,PG,Consumer Staples,Etats-Unis,74.844,Actions
NVIDIA CORP,NVDA,Technology,Etats-Unis,73.396,Actions
SCHNEIDER ELECTRIC,SU,Industrials,France,72.222,Actions
GSK,GSK,Health Care,Royaume-Uni,72.026,Actions
UNITEDHEALTH GROUP INC,UNH,Health Care,Etats-Unis,70.06099999999999,Actions
AXA SA,CS,Financials,France,69.137,Actions
PROSUS NV,PRX,Consumer Discretionary,Pays-Bas,68.104,Actions
DIAGEO PLC,DGE,Consumer Staples,Royaume-Uni,67.974,Actions
CHEVRON CORP,CVX,Energy,Etats-Unis,66.862,Actions
BP PLC,BP.,Energy,Royaume-Uni,66.22800000000001,Actions
BNP PARIBAS SA,BNP,Financials,France,64.513,Actions
MERCEDES-BENZ GROUP N AG,MBG,Consumer Discretionary,Allemagne,63.835,Actions
ENEL,ENEL,Utilities,Italie,61.997,Actions
COCA-COLA,KO,Consumer Staples,Etats-Unis,61.12,Actions
MEITUAN,3690,Consumer Discretionary,Chine,60.474,Actions
INTESA SANPAOLO,ISP,Financials,Italie,60.114,Actions
LAIR LIQUIDE SOCIETE ANONYME POUR,AI,Materials,France,59.844,Actions
VONOVIA SE,VNA,Real Estate,Allemagne,57.434000000000005,Actions
CISCO SYSTEMS INC,CSCO,Technology,Etats-Unis,56.964,Actions
BRITISH AMERICAN TOBACCO PLC,BATS,Consumer Staples,Royaume-Uni,56.836,Actions
INTEL CORPORATION CORP,INTC,Technology,Etats-Unis,56.538,Actions
SEGRO REIT PLC,SGRO,Real Estate,Royaume-Uni,55.7,Actions
PEPSICO INC,PEP,Consumer Staples,Etats-Unis,54.772999999999996,Actions
INDUSTRIA DE DISENO TEXTIL INDITEX,ITX,Consumer Discretionary,Espagne,54.601,Actions
ZURICH INSURANCE GROUP AG,ZURN,Financials,Suisse,54.268,Actions
IBERDROLA SA,IBE,Utilities,Espagne,54.264,Actions
META PLATFORMS INC CLASS A,META,Communication,Etats-Unis,53.744,Actions
MERCK & CO INC,MRK,Health Care,Etats-Unis,53.713,Actions
HOME DEPOT INC,HD,Consumer Discretionary,Etats-Unis,53.027,Actions
SONY GROUP CORP,6758,Consumer Discretionary,Japon,51.374,Actions
CIA VALE DO RIO DOCE SH,VALE3,Materials,Brésil,51.124,Actions
VINCI SA,DG,Industrials,France,51.101,Actions
STELLANTIS NV,STLA,Consumer Discretionary,Italie,50.748,Actions
BANCO SANTANDER SA,SAN,Financials,Espagne,50.639,Actions
TOYOTA MOTOR CORP,7203,Consumer Discretionary,Japon,50.345,Actions
BAYER AG,BAYN,Health Care,Allemagne,49.292,Actions
PFIZER INC,PFE,Health Care,Etats-Unis,48.8,Actions
WOLTERS KLUWER NV,WKL,Industrials,Pays-Bas,47.219,Actions
MUENCHENER RUECKVERSICHERUNGS-GESE,MUV2,Financials,Allemagne,47.127,Actions
VERIZON COMMUNICATIONS INC,VZ,Communication,Etats-Unis,46.98,Actions
INFINEON TECHNOLOGIES AG,IFX,Technology,Allemagne,45.892,Actions
AMGEN INC,AMGN,Health Care,Etats-Unis,44.772,Actions
VOLKSWAGEN NON-VOTING PREF AG,VOW3,Consumer Discretionary,Allemagne,43.786,Actions
ABBVIE INC,ABBV,Health Care,Etats-Unis,43.252,Actions
JPMORGAN CHASE & CO,JPM,Financials,Etats-Unis,43.111000000000004,Actions
ENI,ENI,Energy,Italie,42.975,Actions
DEUTSCHE POST AG,DPW,Industrials,Allemagne,42.565,Actions
ESSILORLUXOTTICA SA,EL,Consumer Discretionary,France,42.387,Actions
ELI LILLY,LLY,Health Care,Etats-Unis,42.176,Actions
TOKYO ELECTRON LTD,8035,Technology,Japon,41.903,Actions
KERING SA,KER,Consumer Discretionary,France,41.695,Actions
DEUTSCHE BOERSE AG,DB1,Financials,Allemagne,41.684,Actions
ING GROEP NV,INGA,Financials,Pays-Bas,41.504,Actions
