Name,Ticker,Sector,Location,Weight (%),Asset Class
APPLE INC,AAPL,Technology,Etats-Unis,250.035,Actions
MICROSOFT CORP,MSFT,Technology,Etats-Unis,226.321,Actions
ASML HOLDING NV,ASML,Technology,Pays-Bas,226.274,Actions
SHELL PLC,SHEL,Energy,Royaume-Uni,161.159,Actions
LVMH,MC,Consumer Discretionary,France,154.337,Actions
NESTLE SA,NESN,Consumer Staples,Suisse,148.982,Actions
AMAZON COM INC,AMZN,Consumer Discretionary,Etats-Unis,132.448,Actions
ROCHE HOLDING PAR AG,ROG,Health Care,Suisse,128.239,Actions
TOTALENERGIES,TTE,Energy,France,117.55499999999999,Actions
SAP,SAP,Technology,Allemagne,112.386,Actions
LINDE PLC,LIN,Materials,Etats-Unis,111.574,Actions
TAIWAN SEMICONDUCTOR MANUFACTURING,2330,Technology,Taïwan,108.67,Actions
TESLA INC,TSLA,Consumer Discretionary,Etats-Unis,106.07600000000001,Actions
ASTRAZENECA PLC,AZN,Health Care,Royaume-Uni,105.526,Actions
ALLIANZ,ALV,Financials,Allemagne,102.775,Actions
NOVO NORDISK CLASS B,NOVOB,Health Care,Danemark,96.472,Actions
SAMSUNG ELECTRONICS LTD,005930,Technology,Corée,95.40299999999999,Actions
UNILEVER PLC,ULVR,Consumer Staples,Royaume-Uni,89.936,Actions
NOVARTIS AG,NOVN,Health Care,Suisse,87.199,Actions
LOREAL SA,OR,Consumer Staples,France,86.922,Actions
SANOFI SA,SAN,Health Care,France,85.797,Actions
TENCENT HOLDINGS LTD,700,Communication,Chine,84.497,Actions
DEUTSCHE TELEKOM N AG,DTE,Communication,Allemagne,80.995,Actions
EXXON MOBIL CORP,XOM,Energy,Etats-Unis,80.267,Actions
ALPHABET INC CLASS A,GOOGL,Communication,Etats-Unis,79.989,Actions
SCHNEIDER ELECTRIC,SU,Industrials,France,79.67699999999999,Actions
SIEMENS N AG,SIE,Industrials,Allemagne,79.1,Actions
RELX PLC,REL,Industrials,Royaume-Uni,78.816,Actions
AXA SA,CS,Financials,France,78.42,Actions
ALPHABET INC CLASS C,GOOG,Communication,Etats-Unis,74.224,Actions
JOHNSON & JOHNSON,JNJ,Health Care,Etats-Unis,74.114,Actions
HSBC HOLDINGS PLC,HSBA,Financials,Royaume-Uni,73.339,Actions
PROCTER & GAMBLE,PG,Consumer Staples,Etats-Unis,72.596,Actions
BP PLC,BP.,Energy,Royaume-Uni,71.285,Actions
UNITEDHEALTH GROUP INC,UNH,Health Care,Etats-Unis,71.146,Actions
RIO TINTO PLC,RIO,Materials,Royaume-Uni,69.717,Actions
DIAGEO PLC,DGE,Consumer Staples,Royaume-Uni,68.617,Actions
BNP PARIBAS SA,BNP,Financials,France,66.972,Actions
CHEVRON CORP,CVX,Energy,Etats-Unis,66.211,Actions
PROSUS NV,PRX,Consumer Discretionary,Pays-Bas,65.033,Actions
ALIBABA GROUP HOLDING LTD,9988,Consumer Discretionary,Chine,64.203,Actions
MERCEDES-BENZ GROUP N AG,MBG,Consumer Discretionary,Allemagne,62.632,Actions
INTESA SANPAOLO,ISP,Financials,Italie,61.202,Actions
NVIDIA CORP,NVDA,Technology,Etats-Unis,60.876,Actions
ZURICH INSURANCE GROUP AG,ZURN,Financials,Suisse,60.449999999999996,Actions
MEITUAN,3690,Consumer Discretionary,Chine,60.064,Actions
COCA-COLA,KO,Consumer Staples,Etats-Unis,58.607,Actions
CISCO SYSTEMS INC,CSCO,Technology,Etats-Unis,57.606,Actions
IBERDROLA SA,IBE,Utilities,Espagne,57.343,Actions
INDUSTRIA DE DISENO TEXTIL INDITEX,ITX,Consumer Discretionary,Espagne,57.229,Actions
ENEL,ENEL,Utilities,Italie,56.854,Actions
MUENCHENER RUECKVERSICHERUNGS-GESE,MUV2,Financials,Allemagne,55.707,Actions
STELLANTIS NV,STLA,Consumer Discretionary,Italie,55.215,Actions
VINCI SA,DG,Industrials,France,54.580999999999996,Actions
PEPSICO INC,PEP,Consumer Staples,Etats-Unis,54.216,Actions
LAIR LIQUIDE SOCIETE ANONYME POUR,AI,Materials,France,54.118,Actions
BRITISH AMERICAN TOBACCO PLC,BATS,Consumer Staples,Royaume-Uni,53.071,Actions
WOLTERS KLUWER NV,WKL,Industrials,Pays-Bas,52.086,Actions
HOME DEPOT INC,HD,Consumer Discretionary,Etats-Unis,51.525999999999996,Actions
SEGRO REIT PLC,SGRO,Real Estate,Royaume-Uni,51.038,Actions
MERCK & CO INC,MRK,Health Care,Etats-Unis,50.304,Actions
VONOVIA SE,VNA,Real Estate,Allemagne,48.43,Actions
CONOCOPHILLIPS,COP,Energy,Etats-Unis,47.868,Actions
META PLATFORMS INC CLASS A,META,Communication,Etats-Unis,47.482,Actions
BANCO SANTANDER SA,SAN,Financials,Espagne,46.916,Actions
PFIZER INC,PFE,Health Care,Etats-Unis,46.778,Actions
INFINEON TECHNOLOGIES AG,IFX,Technology,Allemagne,46.611999999999995,Actions
BAYER AG,BAYN,Health Care,Allemagne,46.508,Actions
VOLKSWAGEN NON-VOTING PREF AG,VOW3,Consumer Discretionary,Allemagne,46.445,Actions
TOYOTA MOTOR CORP,7203,Consumer Discretionary,Japon,46.358,Actions
SONY GROUP CORP,6758,Consumer Discretionary,Japon,45.778,Actions
DEUTSCHE BOERSE AG,DB1,Financials,Allemagne,45.076,Actions
CIA VALE DO RIO DOCE SH,VALE3,Materials,Brésil,44.51,Actions
GLAXOSMITHKLINE,GSK,Health Care,Royaume-Uni,43.737,Actions
ESSILORLUXOTTICA SA,EL,Consumer Discretionary,France,43.495,Actions
INTEL CORPORATION CORP,INTC,Technology,Etats-Unis,43.196,Actions
AMGEN INC,AMGN,Health Care,Etats-Unis,42.815,Actions
ENI,ENI,Energy,Italie,42.474,Actions
KERING SA,KER,Consumer Discretionary,France,42.044,Actions
VERIZON COMMUNICATIONS INC,VZ,Communication,Etats-Unis,41.836999999999996,Actions
COSTCO WHOLESALE CORP,COST,Consumer Staples,Etats-Unis,41.593,Actions
DEUTSCHE POST AG,DPW,Industrials,Allemagne,41.539,Actions
BANCO BILBAO VIZCAYA ARGENTARIA SA,BBVA,Financials,Espagne,41.415,Actions
JPMORGAN CHASE & CO,JPM,Financials,Etats-Unis,41.351,Actions
STMICROELECTRONICS NV,STM,Technology,France,41.324,Actions
ING GROEP NV,INGA,Financials,Pays-Bas,41.18,Actions
TEXAS INSTRUMENT INC,TXN,Technology,Etats-Unis,41.052,Actions
BASF N,BAS,Materials,Allemagne,40.989,Actions
VISA INC CLASS A,V,Technology,Etats-Unis,40.335,Actions
KDDI CORP,9433,Communication,Japon,40.194,Actions
ELI LILLY,LLY,Health Care,Etats-Unis,40.153999999999996,Actions
ABBOTT LABORATORIES,ABT,Health Care,Etats-Unis,38.916,Actions
RECKITT BENCKISER GROUP PLC,RKT,Consumer Staples,Royaume-Uni,38.663,Actions
PERNOD RICARD SA,RI,Consumer Staples,France,38.547,Actions
ABBVIE INC,ABBV,Health Care,Etats-Unis,38.29,Actions
TOKYO ELECTRON LTD,8035,Technology,Japon,38.256,Actions
FERRARI NV,RACE,Consumer Discretionary,Italie,38.092,Actions
NATIONAL GRID PLC,NG.,Utilities,Royaume-Uni,37.989,Actions
BERKSHIRE HATHAWAY INC CLASS B,BRKB,Financials,Etats-Unis,37.936,Actions
DANONE SA,BN,Consumer Staples,France,37.829,Actions
BMW AG,BMW,Consumer Discretionary,Allemagne,37.793,Actions
GLENCORE PLC,GLEN,Materials,Royaume-Uni,37.792,Actions
HERMES INTERNATIONAL,RMS,Consumer Discretionary,France,37.614,Actions
ORANGE SA,ORA,Communication,France,36.884,Actions
KONINKLIJKE AHOLD DELHAIZE NV,AD,Consumer Staples,Pays-Bas,36.849,Actions
WALT DISNEY,DIS,Communication,Etats-Unis,36.774,Actions
ASSICURAZIONI GENERALI,G,Financials,Italie,36.749,Actions
UBS GROUP AG,UBSG,Financials,Suisse,36.747,Actions
GILEAD SCIENCES INC,GILD,Health Care,Etats-Unis,36.623,Actions
ANHEUSER-BUSCH INBEV SA,ABI,Consumer Staples,Belgique,36.586,Actions
AIRBUS GROUP,AIR,Industrials,France,36.47,Actions
BRISTOL MYERS SQUIBB,BMY,Health Care,Etats-Unis,36.264,Actions
CRH PLC,CRG,Materials,Irlande,35.615,Actions
THERMO FISHER SCIENTIFIC INC,TMO,Health Care,Etats-Unis,35.400000000000006,Actions
FLUTTER ENTERTAINMENT PLC,FLTR,Consumer Discretionary,Irlande,35.364,Actions
NEXTERA ENERGY INC,NEE,Utilities,Etats-Unis,35.116,Actions
WALMART INC,WMT,Consumer Staples,Etats-Unis,34.611,Actions
FAST RETAILING LTD,9983,Consumer Discretionary,Japon,34.449,Actions
ADYEN NV,ADYEN,Technology,Pays-Bas,34.226,Actions
ANGLO AMERICAN PLC,AAL,Materials,Royaume-Uni,33.927,Actions
COMMONWEALTH BANK OF AUSTRALIA,CBA,Financials,Australie,33.916,Actions
MCDONALDS CORP,MCD,Consumer Discretionary,Etats-Unis,33.45,Actions
JD.COM CLASS A INC,9618,Consumer Discretionary,Chine,32.941,Actions
BHP GROUP LTD,BHP,Materials,Australie,32.923,Actions
NESTE,NESTE,Energy,Finlande,31.980999999999998,Actions
OMV AG,OMV,Energy,Autriche,31.768,Actions
DAIICHI SANKYO LTD,4568,Health Care,Japon,31.658,Actions
VERTEX PHARMACEUTICALS INC,VRTX,Health Care,Etats-Unis,31.416,Actions
UNICREDIT,UCG,Financials,Italie,31.043,Actions
NN GROUP NV,NN,Financials,Pays-Bas,30.874,Actions
AUTOMATIC DATA PROCESSING INC,ADP,Technology,Etats-Unis,30.553,Actions
CHINA CONSTRUCTION BANK CORP H,939,Financials,Chine,30.512999999999998,Actions
GOLDMAN SACHS GROUP INC,GS,Financials,Etats-Unis,30.443,Actions
ELECTRICITE DE FRANCE SA,EDF,Utilities,France,30.319,Actions
UPM-KYMMENE,UPM,Materials,Finlande,29.957,Actions
ADOBE INC,ADBE,Technology,Etats-Unis,29.81,Actions
NOKIA,NOKIA,Technology,Finlande,29.684,Actions
ERSTE GROUP BANK AG,EBS,Financials,Autriche,29.543,Actions
ABB LTD,ABBN,Industrials,Suisse,29.328,Actions
FERGUSON PLC,FERG,Industrials,Royaume-Uni,29.281000000000002,Actions
BANK OF AMERICA CORP,BAC,Financials,Etats-Unis,29.0,Actions
MASTERCARD INC CLASS A,MA,Technology,Etats-Unis,28.951,Actions
MERCK,MRK,Health Care,Allemagne,28.806,Actions
CSL LTD,CSL,Health Care,Australie,28.389,Actions
EOG RESOURCES INC,EOG,Energy,Etats-Unis,28.368999999999996,Actions
DAIKIN INDUSTRIES LTD,6367,Industrials,Japon,28.248,Actions
EQUINOR,EQNR,Energy,Norvège,28.123,Actions
RELIANCE INDUSTRIES LTD,RELIANCE,Energy,Inde,28.09,Actions
QUALCOMM INC,QCOM,Technology,Etats-Unis,28.051,Actions
PUBLICIS GROUPE SA,PUB,Communication,France,27.779,Actions
VODAFONE GROUP PLC,VOD,Communication,Royaume-Uni,27.425,Actions
